char	fast	libc	difference
198	20.501ms	286.438ms	13.97x faster
199	20.497ms	286.439ms	13.97x faster
200	20.498ms	286.491ms	13.98x faster
201	20.499ms	286.422ms	13.97x faster
202	20.497ms	286.454ms	13.98x faster
203	20.497ms	286.425ms	13.97x faster
204	20.497ms	286.465ms	13.98x faster
205	20.508ms	286.434ms	13.97x faster
206	20.494ms	286.430ms	13.98x faster
207	20.494ms	286.475ms	13.98x faster
208	20.513ms	288.874ms	14.08x faster
209	20.500ms	286.422ms	13.97x faster
210	20.501ms	287.040ms	14.00x faster
211	21.198ms	286.469ms	13.51x faster
212	20.870ms	286.471ms	13.73x faster
213	20.864ms	286.778ms	13.74x faster
214	20.831ms	286.490ms	13.75x faster
215	20.834ms	286.498ms	13.75x faster
216	20.830ms	286.503ms	13.75x faster
217	20.830ms	286.434ms	13.75x faster
218	20.828ms	286.488ms	13.76x faster
219	20.824ms	286.481ms	13.76x faster
220	20.828ms	286.482ms	13.75x faster
221	20.821ms	286.533ms	13.76x faster
222	20.887ms	286.521ms	13.72x faster
223	20.828ms	286.499ms	13.76x faster
224	20.827ms	286.515ms	13.76x faster
225	20.831ms	286.478ms	13.75x faster
226	20.827ms	286.486ms	13.76x faster
227	20.834ms	286.496ms	13.75x faster
228	20.846ms	286.483ms	13.74x faster
229	20.831ms	286.625ms	13.76x faster
230	20.830ms	286.489ms	13.75x faster
231	20.829ms	286.506ms	13.76x faster
232	20.829ms	286.488ms	13.75x faster
233	20.827ms	286.481ms	13.75x faster
234	20.823ms	286.503ms	13.76x faster
235	20.828ms	286.487ms	13.76x faster
236	20.828ms	286.500ms	13.76x faster
237	20.835ms	286.485ms	13.75x faster
238	20.947ms	286.495ms	13.68x faster
239	20.829ms	286.483ms	13.75x faster
240	20.825ms	286.493ms	13.76x faster
241	20.824ms	286.499ms	13.76x faster
242	20.832ms	286.695ms	13.76x faster
243	20.862ms	286.492ms	13.73x faster
244	20.862ms	286.472ms	13.73x faster
245	20.856ms	286.472ms	13.74x faster
246	21.717ms	286.494ms	13.19x faster
247	20.865ms	286.503ms	13.73x faster
248	20.863ms	286.470ms	13.73x faster
249	20.861ms	286.463ms	13.73x faster
250	20.859ms	286.461ms	13.73x faster
251	20.862ms	286.739ms	13.74x faster
252	20.859ms	286.457ms	13.73x faster
253	20.862ms	286.471ms	13.73x faster
254	20.829ms	286.461ms	13.75x faster
